epc,antennaIndex,frequency,time,RSSI,phase,dopplerShift,velocity,x,y,z,angle
100000000000000000000000,1,920625000,0,-47.5,2.11689348728218,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.75502949504261,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.01258279370596,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.01242732000452,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90842757383118,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77957318764878,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.09848571782756,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.00644687055442,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90842757383118,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.02469916630761,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.9268353432858,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.09848571782756,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03697101261069,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.76116541819415,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.02485464000905,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.12916533358527,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03083508945915,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77957318764878,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.92069942013426,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.05553425576676,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.02485464000905,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.02469916630761,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.9268353432858,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77343726449724,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.09234979467601,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.12916533358527,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77957318764878,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.01242732000452,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90842757383118,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.01258279370596,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.02469916630761,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.12916533358527,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.92069942013426,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.7673013413457,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.02485464000905,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.74889357189107,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.04939833261522,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.92069942013426,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.00629139685298,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.09234979467601,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.92069942013426,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.74889357189107,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.1046216409791,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.04939833261522,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.01856324315607,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03083508945915,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.89615572752809,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47.5,2.77343726449724,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.12302941043373,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.04326240946367,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03083508945915,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77343726449724,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44.5,2.00644687055442,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.08621387152447,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90229165067963,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.0616701789183,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.91456349698272,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.7673013413457,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.02469916630761,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.1046216409791,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43.5,1.03083508945915,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.03712648631213,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.11689348728218,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.74889357189107,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90229165067963,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.90842757383118,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.09848571782756,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03697101261069,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.04939833261522,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.77343726449724,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.92069942013426,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.08621387152447,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43,1.03083508945915,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.0187187168575,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.75502949504261,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000003,1,920625000,0,-43.5,1.01856324315607,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000004,1,920625000,0,-44,2.02485464000905,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000001,1,920625000,0,-47,2.78570911080032,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000002,1,920625000,0,-44,2.91456349698272,0,0,0.760044006347656,1.63,0,-5400.240234375
100000000000000000000000,1,920625000,0,-47.5,2.11075756413064,0,0,0.760044006347656,1.63,0,-5400.240234375
